file,size,entropy,unique_bytes,best_method,best_compressed_size
reymont.zip_chunk0,1048576,7.998336033991248,256,brotli,1048581
webster_chunk0,1048576,4.984678612624568,97,brotli,239314
webster_chunk1,1048576,4.989737991345266,92,brotli,237405
webster_chunk2,1048576,4.959470078374983,91,brotli,246161
webster_chunk3,1048576,4.957700895257061,90,brotli,244588
webster_chunk4,1048576,4.972460111000391,97,brotli,254905
webster_chunk5,1048576,4.9607930489323415,92,brotli,243898
webster_chunk6,1048576,4.948237455005662,91,brotli,234946
webster_chunk7,1048576,4.974216799578428,92,brotli,245072
webster_chunk8,1048576,4.972301115949204,97,brotli,244778
webster_chunk9,1048576,4.945862234361865,91,brotli,226867
webster_chunk10,1048576,4.960662902756156,91,brotli,246992
webster_chunk11,1048576,4.977480936310484,91,brotli,234456
webster_chunk12,1048576,4.940307557187988,96,brotli,247030
webster_chunk13,1048576,4.941978056831188,91,brotli,245356
webster_chunk14,1048576,4.955367978299287,93,brotli,249532
webster_chunk15,1048576,4.978227337949692,91,brotli,246774
webster_chunk16,1048576,4.982805640166209,97,brotli,233110
webster_chunk17,1048576,4.930559494087435,92,brotli,221610
webster_chunk18,1048576,4.9714253512988105,91,brotli,252725
webster_chunk19,1048576,4.965088692466856,96,brotli,250179
webster_chunk20,1048576,4.965302349131459,91,brotli,241803
webster_chunk21,1048576,4.966413497651204,92,brotli,238652
webster_chunk22,1048576,4.958563948234405,93,brotli,240816
webster_chunk23,1048576,4.972040093401841,96,brotli,237762
webster_chunk24,1048576,4.958950471577389,91,brotli,234825
webster_chunk25,1048576,4.938710398748743,93,brotli,233888
webster_chunk26,1048576,4.974566014948986,96,brotli,242869
webster_chunk27,1048576,4.951370471913195,92,brotli,236091
webster_chunk28,1048576,4.948715205355778,96,brotli,247935
webster_chunk29,1048576,4.945921598945714,93,brotli,242989
webster_chunk30,1048576,4.932526051720661,93,brotli,244114
webster_chunk31,1048576,4.9299269862125765,91,brotli,243751
webster_chunk32,1048576,4.92954812071467,92,brotli,236951
webster_chunk33,1048576,4.95087578244133,96,brotli,243490
webster_chunk34,1048576,4.930114798903709,93,brotli,242348
webster_chunk35,1048576,4.958961221318226,92,brotli,228109
webster_chunk36,1048576,4.946135167121049,90,brotli,244949
webster_chunk37,1048576,4.948562123307226,96,brotli,247555
webster_chunk38,1048576,4.989252755941511,92,brotli,273983
mozilla_chunk0,1048576,7.186945412749781,256,brotli,635440
mozilla_chunk1,1048576,7.9051777013266795,256,brotli,938959
mozilla_chunk2,1048576,7.6873036842541005,256,brotli,742426
mozilla_chunk3,1048576,7.849703220838382,256,brotli,907004
mozilla_chunk4,1048576,5.954259771379331,256,lzma,278300
mozilla_chunk5,1048576,5.944642710413848,256,lzma,303864
mozilla_chunk6,1048576,5.81446618070139,256,lzma,238820
mozilla_chunk7,1048576,5.8349887610653255,256,lzma,226196
mozilla_chunk8,1048576,5.8744450849084995,256,lzma,238264
mozilla_chunk9,1048576,5.844347732841519,256,lzma,230608
mozilla_chunk10,1048576,6.050113688813863,256,lzma,265964
mozilla_chunk11,1048576,5.15052753912699,256,lzma,252048
mozilla_chunk12,1048576,5.981442518752171,256,lzma,272992
mozilla_chunk13,1048576,5.800907425007308,256,lzma,221612
mozilla_chunk14,1048576,4.638285251913317,256,lzma,153008
mozilla_chunk15,1048576,5.594208943721137,256,lzma,171360
mozilla_chunk16,1048576,5.729417472745316,256,lzma,219476
mozilla_chunk17,1048576,6.153759090656674,256,lzma,231100
mozilla_chunk18,1048576,6.267168134092358,256,lzma,277792
mozilla_chunk19,1048576,6.319132528214898,256,lzma,293436
mozilla_chunk20,1048576,4.7924004125745405,256,lzma,126608
mozilla_chunk21,1048576,5.165225035127648,256,lzma,161036
mozilla_chunk22,1048576,5.802434472622363,256,lzma,275212
mozilla_chunk23,1048576,6.336622825581047,256,lzma,355864
mozilla_chunk24,1048576,6.222858097760308,256,lzma,278284
mozilla_chunk25,1048576,5.751592197243092,256,lzma,222424
mozilla_chunk26,1048576,5.984482208713077,256,lzma,222748
mozilla_chunk27,1048576,6.270489576059418,256,lzma,268892
mozilla_chunk28,1048576,5.874104886793394,256,lzma,216000
mozilla_chunk29,1048576,5.757438321940774,256,lzma,219292
mozilla_chunk30,1048576,5.973306485260791,256,lzma,237164
mozilla_chunk31,1048576,5.907497146145697,256,lzma,234456
mozilla_chunk32,1048576,5.937262060684083,256,lzma,209084
mozilla_chunk33,1048576,6.018669510459011,256,lzma,266980
mozilla_chunk34,1048576,5.859222106174169,256,lzma,223720
